user_id,timestamp,event_type
1,2023-02-14 16:56:00,schedule_consult
1,2023-03-05 10:08:00,log_metric
1,2023-03-18 13:23:00,view_dashboard
1,2023-02-21 15:49:00,log_metric
2,2023-02-14 02:00:00,view_dashboard
2,2023-01-10 01:50:00,view_dashboard
2,2023-01-26 20:45:00,set_goal
2,2023-02-03 13:44:00,view_dashboard
2,2023-02-17 17:34:00,set_goal
2,2023-01-25 02:19:00,log_metric
2,2023-01-21 04:34:00,view_dashboard
2,2023-02-14 20:48:00,read_article
2,2023-02-20 20:04:00,view_dashboard
3,2023-01-29 23:54:00,log_metric
3,2023-01-17 02:59:00,view_dashboard
3,2023-01-31 19:38:00,log_metric
3,2023-02-13 23:42:00,read_article
3,2023-01-09 00:45:00,log_metric
3,2023-01-02 05:31:00,schedule_consult
3,2023-02-04 16:50:00,read_article
4,2023-03-05 05:23:00,log_metric
4,2023-03-06 23:56:00,log_metric
4,2023-02-18 10:51:00,view_dashboard
4,2023-03-22 02:16:00,set_goal
4,2023-03-25 20:04:00,view_dashboard
4,2023-03-21 11:03:00,view_dashboard
5,2023-02-23 05:23:00,log_metric
5,2023-01-24 18:43:00,set_goal
5,2023-02-01 23:32:00,log_metric
5,2023-01-18 07:02:00,view_dashboard
5,2023-02-11 04:11:00,read_article
6,2023-01-18 17:51:00,read_article
6,2023-02-26 13:14:00,log_metric
6,2023-02-11 23:20:00,log_metric
7,2023-01-19 18:23:00,log_metric
7,2023-02-27 01:11:00,log_metric
7,2023-02-17 01:25:00,log_metric
7,2023-02-13 09:49:00,read_article
7,2023-02-04 02:35:00,view_dashboard
7,2023-02-07 06:18:00,view_dashboard
7,2023-02-03 23:39:00,log_metric
8,2023-02-01 18:31:00,schedule_consult
8,2023-01-21 23:57:00,set_goal
8,2023-01-24 04:00:00,schedule_consult
8,2023-01-10 07:34:00,view_dashboard
8,2023-02-22 00:21:00,log_metric
9,2023-03-31 12:54:00,set_goal
9,2023-03-08 03:13:00,view_dashboard
9,2023-03-04 13:31:00,schedule_consult
9,2023-02-26 22:17:00,log_metric
9,2023-03-03 16:26:00,set_goal
9,2023-03-12 14:47:00,log_metric
9,2023-02-23 16:08:00,view_dashboard
9,2023-03-14 02:37:00,view_dashboard
10,2023-02-03 21:08:00,log_metric
10,2023-01-23 10:59:00,read_article
10,2023-02-20 23:20:00,view_dashboard
10,2023-01-24 07:04:00,schedule_consult
10,2023-01-15 18:06:00,log_metric
10,2023-01-17 14:29:00,view_dashboard
10,2023-01-14 17:22:00,schedule_consult
10,2023-01-20 14:19:00,view_dashboard
10,2023-01-14 02:10:00,read_article
11,2023-03-04 22:44:00,view_dashboard
11,2023-02-26 10:09:00,log_metric
11,2023-02-28 11:25:00,view_dashboard
11,2023-03-28 09:16:00,read_article
11,2023-02-24 00:25:00,read_article
12,2023-03-24 23:35:00,log_metric
12,2023-03-18 03:51:00,read_article
12,2023-02-24 00:03:00,read_article
12,2023-03-03 04:12:00,read_article
12,2023-03-12 21:40:00,schedule_consult
12,2023-02-22 18:37:00,view_dashboard
13,2023-03-03 00:04:00,log_metric
13,2023-04-09 14:51:00,log_metric
13,2023-03-20 03:02:00,schedule_consult
14,2023-02-07 05:59:00,view_dashboard
14,2023-03-01 15:01:00,log_metric
14,2023-03-03 05:22:00,log_metric
14,2023-02-15 08:17:00,view_dashboard
14,2023-02-13 01:39:00,view_dashboard
14,2023-02-19 20:18:00,view_dashboard
15,2023-02-10 15:03:00,log_metric
15,2023-01-30 04:26:00,log_metric
15,2023-02-08 07:40:00,schedule_consult
15,2023-02-09 00:24:00,set_goal
16,2023-03-01 15:34:00,set_goal
16,2023-03-01 18:32:00,log_metric
16,2023-02-24 05:01:00,log_metric
16,2023-02-21 00:57:00,read_article
17,2023-02-14 01:51:00,schedule_consult
17,2023-03-02 11:49:00,view_dashboard
17,2023-02-11 05:06:00,log_metric
17,2023-02-12 08:34:00,read_article
17,2023-01-31 07:36:00,read_article
17,2023-02-21 11:59:00,read_article
18,2023-01-14 05:15:00,view_dashboard
19,2023-02-15 11:58:00,view_dashboard
19,2023-02-16 22:22:00,read_article
19,2023-02-07 04:36:00,read_article
19,2023-02-02 17:19:00,log_metric
19,2023-01-04 02:03:00,log_metric
19,2023-01-16 00:33:00,view_dashboard
20,2023-01-27 19:12:00,read_article
20,2023-01-27 22:11:00,read_article
20,2023-01-26 01:01:00,log_metric
20,2023-02-20 04:49:00,log_metric
20,2023-02-08 11:04:00,log_metric
21,2023-02-25 12:37:00,log_metric
21,2023-02-02 10:08:00,schedule_consult
21,2023-02-10 20:31:00,view_dashboard
22,2023-01-26 22:35:00,view_dashboard
22,2023-02-23 11:14:00,view_dashboard
22,2023-01-26 12:19:00,set_goal
22,2023-02-02 04:11:00,set_goal
22,2023-02-28 18:25:00,read_article
23,2023-03-10 01:11:00,view_dashboard
23,2023-03-13 07:40:00,view_dashboard
23,2023-03-05 04:21:00,set_goal
23,2023-02-17 11:20:00,log_metric
23,2023-02-07 22:42:00,view_dashboard
23,2023-02-23 14:00:00,log_metric
23,2023-02-17 22:04:00,log_metric
24,2023-02-14 23:00:00,log_metric
24,2023-03-08 23:26:00,schedule_consult
24,2023-03-06 15:56:00,log_metric
24,2023-03-14 12:06:00,read_article
24,2023-03-16 20:48:00,view_dashboard
24,2023-02-18 14:04:00,set_goal
24,2023-02-10 09:01:00,log_metric
24,2023-02-14 02:21:00,log_metric
24,2023-03-04 05:46:00,log_metric
25,2023-01-07 10:38:00,schedule_consult
25,2023-02-01 22:01:00,view_dashboard
25,2023-02-12 05:38:00,read_article
25,2023-01-12 01:06:00,log_metric
26,2023-02-17 13:44:00,set_goal
26,2023-03-11 08:42:00,view_dashboard
26,2023-02-20 03:03:00,view_dashboard
27,2023-02-17 15:09:00,log_metric
27,2023-01-13 13:05:00,log_metric
27,2023-02-24 20:38:00,view_dashboard
27,2023-01-19 00:13:00,log_metric
28,2023-03-05 02:30:00,read_article
28,2023-03-06 12:30:00,view_dashboard
28,2023-03-29 08:05:00,view_dashboard
28,2023-03-11 05:23:00,read_article
29,2023-03-06 05:28:00,log_metric
29,2023-03-11 14:16:00,log_metric
29,2023-02-28 18:03:00,log_metric
30,2023-03-30 21:06:00,log_metric
30,2023-03-08 17:26:00,schedule_consult
31,2023-03-13 07:35:00,log_metric
31,2023-02-28 16:26:00,schedule_consult
31,2023-03-19 15:36:00,read_article
